,month_date_yyyymm,median_listing_price,active_listing_count,median_days_on_market,total_listing_count,county_r,state_r,index,zillow_avg_price,date_reformat,total_avg
32754,202012.0,375000.0,170.0,47.5,482.0,laramie,WY,32754,303006.0,12/2020,339003.0
37654,202012.0,269050.0,223.0,55.5,223.0,natrona,WY,37654,224723.0,12/2020,246886.5
32755,202011.0,341500.0,208.0,37.5,593.0,laramie,WY,32755,303835.0,11/2020,322667.5
37655,202011.0,267500.0,266.0,44.0,266.0,natrona,WY,37655,224531.0,11/2020,246015.5
32756,202010.0,349950.0,247.0,30.0,664.0,laramie,WY,32756,303876.0,10/2020,326913.0
37656,202010.0,279050.0,264.0,38.0,264.0,natrona,WY,37656,224159.0,10/2020,251604.5
32757,202009.0,358900.0,242.0,34.0,685.0,laramie,WY,32757,304789.0,09/2020,331844.5
37657,202009.0,287300.0,253.0,37.5,254.0,natrona,WY,37657,223823.0,09/2020,255561.5
32758,202008.0,366550.0,272.0,36.0,698.0,laramie,WY,32758,304679.0,08/2020,335614.5
37658,202008.0,288950.0,250.0,30.0,251.0,natrona,WY,37658,223378.0,08/2020,256164.0
32759,202007.0,368250.0,295.0,29.0,678.0,laramie,WY,32759,304300.0,07/2020,336275.0
37659,202007.0,282345.0,236.0,31.0,237.0,natrona,WY,37659,222663.0,07/2020,252504.0
32760,202006.0,370300.0,277.0,33.0,632.0,laramie,WY,32760,303737.0,06/2020,337018.5
37660,202006.0,273000.0,214.0,36.5,214.0,natrona,WY,37660,221982.0,06/2020,247491.0
32761,202005.0,365750.0,262.0,44.0,584.0,laramie,WY,32761,302602.0,05/2020,334176.0
37661,202005.0,264950.0,228.0,44.0,228.0,natrona,WY,37661,221454.0,05/2020,243202.0
32762,202004.0,366050.0,266.0,33.0,538.0,laramie,WY,32762,301435.0,04/2020,333742.5
37662,202004.0,262450.0,220.0,33.5,220.0,natrona,WY,37662,221187.0,04/2020,241818.5
32763,202003.0,369450.0,218.0,34.5,520.0,laramie,WY,32763,299963.0,03/2020,334706.5
37663,202003.0,247500.0,190.0,33.5,190.0,natrona,WY,37663,220546.0,03/2020,234023.0
32764,202002.0,358050.0,202.0,37.0,487.0,laramie,WY,32764,298338.0,02/2020,328194.0
37664,202002.0,240050.0,189.0,52.0,189.0,natrona,WY,37664,219877.0,02/2020,229963.5
32765,202001.0,340150.0,219.0,66.5,449.0,laramie,WY,32765,295496.0,01/2020,317823.0
37665,202001.0,229950.0,200.0,71.5,200.0,natrona,WY,37665,218794.0,01/2020,224372.0
32766,201912.0,340250.0,247.0,72.5,489.0,laramie,WY,32766,294591.0,12/2019,317420.5
37666,201912.0,225050.0,223.0,69.5,224.0,natrona,WY,37666,217710.0,12/2019,221380.0
32767,201911.0,338884.0,266.0,53.0,556.0,laramie,WY,32767,292256.0,11/2019,315570.0
37667,201911.0,219050.0,259.0,59.0,260.0,natrona,WY,37667,216345.0,11/2019,217697.5
32768,201910.0,330050.0,334.0,42.5,612.0,laramie,WY,32768,291180.0,10/2019,310615.0
37668,201910.0,225000.0,310.0,52.0,310.0,natrona,WY,37668,215194.0,10/2019,220097.0
32769,201909.0,334381.0,308.0,31.5,614.0,laramie,WY,32769,288159.0,09/2019,311270.0
37669,201909.0,235000.0,331.0,50.0,331.0,natrona,WY,37669,214158.0,09/2019,224579.0
